sc23 company name,sc23 booth number,sc23 booth area sqft,sc23 normalized company name,sc24 company name,sc24 booth number,sc24 booth area sqft,sc24 normalized company name,canonical name,max booth area sqft,sqft increase,sqft abs change
Dell Technologies,625,1500.0,dell technologies,Dell Technologies,4357,3200.0,dell technologies,dell technologies,3200.0,1700.0,1700.0
Korea Semiconductor Industry Association,663,2500.0,korea semiconductor industry association,Korea Semiconductor Industry Association,1531,900.0,korea semiconductor industry association,korea semiconductor industry association,2500.0,-1600.0,1600.0
,,0.0,,STULZ,1748,1600.0,stulz,stulz,1600.0,1600.0,1600.0
HLRS,409,900.0,hlrs,HLRS,2231,2500.0,hlrs,hlrs,2500.0,1600.0,1600.0
"USystems, Brand of Legrand",1885,400.0,usystems brand of legrand,"USystems, Brand of Legrand",721,2000.0,usystems brand of legrand,usystems brand of legrand,2000.0,1600.0,1600.0
Penguin Solutions,843,2500.0,penguin solutions,Penguin Solutions,1523,900.0,penguin solutions,penguin solutions,2500.0,-1600.0,1600.0
NVIDIA Corporation,3305,100.0,nvidia,NVIDIA Corporation,2523,1500.0,nvidia,nvidia,1500.0,1400.0,1400.0
Carahsoft,498,225.0,carahsoft,Carahsoft Technology Corp.,2813,1500.0,carahsoft,carahsoft,1500.0,1275.0,1275.0
Vertiv,2063,400.0,vertiv,Vertiv,1241,1600.0,vertiv,vertiv,1600.0,1200.0,1200.0
SourceCode,2001,400.0,sourcecode,Boston Limited / Source Code,1503,1500.0,sourcecode,sourcecode,1500.0,1100.0,1100.0
Arc Compute,633,2000.0,arc compute,Arc Compute,1917,3000.0,arc compute,arc compute,3000.0,1000.0,1000.0
Oracle,937,1000.0,oracle,Oracle,3419,2000.0,oracle,oracle,2000.0,1000.0,1000.0
,,0.0,,"NetApp, Inc.",3302,900.0,netapp,netapp,900.0,900.0,900.0
Iris Energy,3303,100.0,iris energy,Iris Energy Limited (dba IREN),3531,1000.0,iris energy,iris energy,1000.0,900.0,900.0
SUPERMICRO,1325,1600.0,supermicro,SUPERMICRO,2531,2500.0,supermicro,supermicro,2500.0,900.0,900.0
,,0.0,,"Samsung Semiconductor, Inc.",3314,900.0,samsung semiconductor inc,samsung semiconductor inc,900.0,900.0,900.0
CGG,1543,2000.0,viridien,Viridien,1223,1200.0,viridien,viridien,2000.0,-800.0,800.0
,,0.0,,Delta Electronics (Americas) Ltd.,1251,800.0,delta electronics americas ltd,delta electronics americas ltd,800.0,800.0,800.0
Midas Immersion Cooling,1891,100.0,midas immersion cooling,Midas Immersion Cooling,831,900.0,midas immersion cooling,midas immersion cooling,900.0,800.0,800.0
,,0.0,,Ansys,2741,800.0,ansys,ansys,800.0,800.0,800.0
GIGABYTE,112,256.0,gigabyte,GIGABYTE,3123,900.0,gigabyte,gigabyte,900.0,644.0,644.0
