canonical name,sc23 booth area sqft,sc24 booth area sqft,sqft increase
dell technologies,1500.0,3200.0,1700.0
korea semiconductor industry association,2500.0,900.0,-1600.0
stulz,0.0,1600.0,1600.0
hlrs,900.0,2500.0,1600.0
usystems brand of legrand,400.0,2000.0,1600.0
penguin solutions,2500.0,900.0,-1600.0
nvidia,100.0,1500.0,1400.0
carahsoft,225.0,1500.0,1275.0
vertiv,400.0,1600.0,1200.0
sourcecode,400.0,1500.0,1100.0
arc compute,2000.0,3000.0,1000.0
oracle,1000.0,2000.0,1000.0
netapp,0.0,900.0,900.0
iris energy,100.0,1000.0,900.0
supermicro,1600.0,2500.0,900.0
samsung semiconductor inc,0.0,900.0,900.0
viridien,2000.0,1200.0,-800.0
delta electronics americas ltd,0.0,800.0,800.0
midas immersion cooling,100.0,900.0,800.0
ansys,0.0,800.0,800.0
gigabyte,256.0,900.0,644.0
symbiosys alliance,600.0,0.0,-600.0
wistron corporation,0.0,600.0,600.0
tenstorrent,600.0,0.0,-600.0
micron technology,0.0,600.0,600.0
ami,0.0,600.0,600.0
valvoline global operations,0.0,600.0,600.0
suse llc,600.0,0.0,-600.0
schneider electric,0.0,600.0,600.0
pegatron,0.0,600.0,600.0
nebius,0.0,600.0,600.0
airedale by modine,0.0,600.0,600.0
seagate,400.0,1000.0,600.0
boundary electric,0.0,600.0,600.0
liteon,900.0,1500.0,600.0
asus,225.0,800.0,575.0
sambanova systems,256.0,800.0,544.0
intel corporation,1500.0,2000.0,500.0
dug,100.0,600.0,500.0
coreweave,900.0,400.0,-500.0
cooler master co ltd,1500.0,1000.0,-500.0
aws,2500.0,2000.0,-500.0
mangoboost inc,100.0,600.0,500.0
im,100.0,600.0,500.0
z by hp,400.0,0.0,-400.0
broadcom,0.0,400.0,400.0
one stop systems,600.0,200.0,-400.0
friendliai,400.0,0.0,-400.0
snia,400.0,0.0,-400.0
general dynamics,400.0,0.0,-400.0
illinois tech,400.0,0.0,-400.0
edb,0.0,400.0,400.0
prolabs,0.0,400.0,400.0
ranovus,0.0,400.0,400.0
saiheat,0.0,400.0,400.0
arm inc,400.0,0.0,-400.0
storj valdiai,0.0,400.0,400.0
south carolina research computing consortium,0.0,400.0,400.0
ori,0.0,400.0,400.0
tennessee tech university,0.0,400.0,400.0
eneos usa inc,0.0,400.0,400.0
digitalocean,400.0,0.0,-400.0
ionstreamai,0.0,400.0,400.0
achronix semiconductor corporation,400.0,0.0,-400.0
fast photonics inc,0.0,400.0,400.0
fortuneone,0.0,400.0,400.0
general dynamics information technology gdit,0.0,400.0,400.0
cooltera limited,400.0,0.0,-400.0
nyriad inc,400.0,0.0,-400.0
hypertec,0.0,400.0,400.0
mara,0.0,400.0,400.0
strategic thermal labs,0.0,400.0,400.0
cocolink,0.0,400.0,400.0
ssstc,400.0,0.0,-400.0
neuchips inc,400.0,0.0,-400.0
nimbus data,400.0,0.0,-400.0
exhibitor lounge,0.0,400.0,400.0
inaf,0.0,400.0,400.0
vast data,1600.0,1200.0,-400.0
lambda,800.0,400.0,-400.0
viking enterprise solutions,400.0,800.0,400.0
data in science corporation,500.0,900.0,400.0
partnership for advanced computing in europe prace,800.0,400.0,-400.0
nvent,1200.0,1600.0,400.0
ciq,600.0,1000.0,400.0
pure storage,1600.0,1200.0,-400.0
rittal,6.0,400.0,394.0
qct,225.0,600.0,375.0
ncar,900.0,600.0,-300.0
qscale,300.0,0.0,-300.0
google llc,1500.0,1200.0,-300.0
ddn,900.0,600.0,-300.0
submer,300.0,600.0,300.0
hitachi vantara,600.0,900.0,300.0
pasqal,100.0,400.0,300.0
bluefors,100.0,400.0,300.0
pier group llc,256.0,0.0,-256.0
unifabrix,225.0,0.0,-225.0
hpe,225.0,0.0,-225.0
microchip technology inc,225.0,0.0,-225.0
alabama supercomputer authority,100.0,300.0,200.0
nndc new nordic data cooling,0.0,200.0,200.0
storone,100.0,300.0,200.0
megware computer,200.0,0.0,-200.0
influx technologies limited,200.0,0.0,-200.0
numerical algorithms group,200.0,0.0,-200.0
crusoe,200.0,0.0,-200.0
across sea projects,200.0,0.0,-200.0
lightelligence,200.0,0.0,-200.0
cocolink corp,200.0,0.0,-200.0
itbl community,400.0,200.0,-200.0
zutacore,200.0,400.0,200.0
fujifilm data storage solutions,200.0,0.0,-200.0
advanced computing center for research and education,1000.0,800.0,-200.0
enfabrica,200.0,400.0,200.0
renesas electronics america,0.0,200.0,200.0
national radio astronomy observatory,200.0,0.0,-200.0
